"document","topic","gamma"
"1939:Wuthering Heights",21,0.183
"1939:Wuthering Heights",22,0.017
"1939:Wuthering Heights",23,0.017
"1939:Wuthering Heights",24,0.017
"1939:Wuthering Heights",25,0.017
"1939:Wuthering Heights",26,0.017
"1939:Wuthering Heights",27,0.017
"1939:Wuthering Heights",28,0.017
"1939:Wuthering Heights",29,0.017
"1939:Wuthering Heights",30,0.017
"1939:Wuthering Heights",31,0.017
"1939:Wuthering Heights",32,0.017
"1939:Wuthering Heights",33,0.017
"1939:Wuthering Heights",34,0.017
"1939:Wuthering Heights",35,0.017
"1939:Wuthering Heights",36,0.017
"1939:Wuthering Heights",37,0.017
"1939:Wuthering Heights",38,0.017
"1939:Wuthering Heights",39,0.017
"1939:Wuthering Heights",40,0.017
"1939:Wuthering Heights",41,0.017
"1939:Wuthering Heights",42,0.017
"1939:Wuthering Heights",43,0.017
"1939:Wuthering Heights",44,0.017
"1939:Wuthering Heights",45,0.017
"1939:Wuthering Heights",46,0.017
"1939:Wuthering Heights",47,0.017
"1939:Wuthering Heights",48,0.017
"1939:Wuthering Heights",49,0.017
"1939:Wuthering Heights",50,0.017
"1940:All This, and Heaven Too",1,0.014
"1940:All This, and Heaven Too",2,0.014
"1940:All This, and Heaven Too",3,0.014
"1940:All This, and Heaven Too",4,0.014
"1940:All This, and Heaven Too",5,0.157
"1940:All This, and Heaven Too",6,0.014
"1940:All This, and Heaven Too",7,0.014
"1940:All This, and Heaven Too",8,0.014
"1940:All This, and Heaven Too",9,0.014
"1940:All This, and Heaven Too",10,0.014
"1940:All This, and Heaven Too",11,0.157
"1940:All This, and Heaven Too",12,0.014
"1940:All This, and Heaven Too",13,0.014
"1940:All This, and Heaven Too",14,0.014
"1940:All This, and Heaven Too",15,0.014
"1940:All This, and Heaven Too",16,0.014
"1940:All This, and Heaven Too",17,0.014
"1940:All This, and Heaven Too",18,0.014
"1940:All This, and Heaven Too",19,0.014
"1940:All This, and Heaven Too",20,0.014
"1940:All This, and Heaven Too",21,0.014
"1940:All This, and Heaven Too",22,0.014
"1940:All This, and Heaven Too",23,0.014
"1940:All This, and Heaven Too",24,0.014
"1940:All This, and Heaven Too",25,0.014
"1940:All This, and Heaven Too",26,0.014
"1940:All This, and Heaven Too",27,0.014
"1940:All This, and Heaven Too",28,0.014
"1940:All This, and Heaven Too",29,0.014
"1940:All This, and Heaven Too",30,0.014
"1940:All This, and Heaven Too",31,0.014
"1940:All This, and Heaven Too",32,0.014
"1940:All This, and Heaven Too",33,0.014
"1940:All This, and Heaven Too",34,0.014
"1940:All This, and Heaven Too",35,0.014
"1940:All This, and Heaven Too",36,0.014
"1940:All This, and Heaven Too",37,0.014
"1940:All This, and Heaven Too",38,0.014
"1940:All This, and Heaven Too",39,0.014
"1940:All This, and Heaven Too",40,0.014
"1940:All This, and Heaven Too",41,0.014
"1940:All This, and Heaven Too",42,0.014
"1940:All This, and Heaven Too",43,0.014
"1940:All This, and Heaven Too",44,0.014
"1940:All This, and Heaven Too",45,0.014
"1940:All This, and Heaven Too",46,0.014
"1940:All This, and Heaven Too",47,0.014
"1940:All This, and Heaven Too",48,0.014
"1940:All This, and Heaven Too",49,0.014
"1940:All This, and Heaven Too",50,0.014
"1940:Foreign Correspondent",1,0.001
"1940:Foreign Correspondent",2,0.001
"1940:Foreign Correspondent",3,0.135
"1940:Foreign Correspondent",4,0.001
"1940:Foreign Correspondent",5,0.001
"1940:Foreign Correspondent",6,0.001
"1940:Foreign Correspondent",7,0.011
"1940:Foreign Correspondent",8,0.001
"1940:Foreign Correspondent",9,0.001
"1940:Foreign Correspondent",10,0.109
"1940:Foreign Correspondent",11,0.001
"1940:Foreign Correspondent",12,0.001
"1940:Foreign Correspondent",13,0.001
"1940:Foreign Correspondent",14,0.001
"1940:Foreign Correspondent",15,0.001
"1940:Foreign Correspondent",16,0.001
"1940:Foreign Correspondent",17,0.026
"1940:Foreign Correspondent",18,0.001
"1940:Foreign Correspondent",19,0.006
"1940:Foreign Correspondent",20,0.021
"1940:Foreign Correspondent",21,0.001
"1940:Foreign Correspondent",22,0.001
"1940:Foreign Correspondent",23,0.001
"1940:Foreign Correspondent",24,0.006
"1940:Foreign Correspondent",25,0.001
"1940:Foreign Correspondent",26,0.001
"1940:Foreign Correspondent",27,0.032
"1940:Foreign Correspondent",28,0.001
"1940:Foreign Correspondent",29,0.001
"1940:Foreign Correspondent",30,0.001
"1940:Foreign Correspondent",31,0.001
"1940:Foreign Correspondent",32,0.058
"1940:Foreign Correspondent",33,0.001
"1940:Foreign Correspondent",34,0.001
"1940:Foreign Correspondent",35,0.001
"1940:Foreign Correspondent",36,0.001
"1940:Foreign Correspondent",37,0.001
"1940:Foreign Correspondent",38,0.001
"1940:Foreign Correspondent",39,0.001
"1940:Foreign Correspondent",40,0.104
"1940:Foreign Correspondent",41,0.001
"1940:Foreign Correspondent",42,0.016
"1940:Foreign Correspondent",43,0.182
"1940:Foreign Correspondent",44,0.001
"1940:Foreign Correspondent",45,0.151
"1940:Foreign Correspondent",46,0.125
"1940:Foreign Correspondent",47,0.001
"1940:Foreign Correspondent",48,0.001
"1940:Foreign Correspondent",49,0.001
"1940:Foreign Correspondent",50,0.001
"1940:Kitty Foyle",1,0.017
"1940:Kitty Foyle",2,0.017
"1940:Kitty Foyle",3,0.017
"1940:Kitty Foyle",4,0.017
"1940:Kitty Foyle",5,0.017
"1940:Kitty Foyle",6,0.017
"1940:Kitty Foyle",7,0.017
"1940:Kitty Foyle",8,0.017
"1940:Kitty Foyle",9,0.017
"1940:Kitty Foyle",10,0.017
"1940:Kitty Foyle",11,0.017
"1940:Kitty Foyle",12,0.017
"1940:Kitty Foyle",13,0.017
"1940:Kitty Foyle",14,0.017
"1940:Kitty Foyle",15,0.017
"1940:Kitty Foyle",16,0.017
"1940:Kitty Foyle",17,0.017
"1940:Kitty Foyle",18,0.017
"1940:Kitty Foyle",19,0.017
"1940:Kitty Foyle",20,0.017
"1940:Kitty Foyle",21,0.183
"1940:Kitty Foyle",22,0.017
"1940:Kitty Foyle",23,0.017
"1940:Kitty Foyle",24,0.017
"1940:Kitty Foyle",25,0.017
"1940:Kitty Foyle",26,0.017
"1940:Kitty Foyle",27,0.017
"1940:Kitty Foyle",28,0.017
"1940:Kitty Foyle",29,0.017
"1940:Kitty Foyle",30,0.017
"1940:Kitty Foyle",31,0.017
"1940:Kitty Foyle",32,0.017
"1940:Kitty Foyle",33,0.017
"1940:Kitty Foyle",34,0.017
"1940:Kitty Foyle",35,0.017
"1940:Kitty Foyle",36,0.017
"1940:Kitty Foyle",37,0.017
"1940:Kitty Foyle",38,0.017
"1940:Kitty Foyle",39,0.017
"1940:Kitty Foyle",40,0.017
"1940:Kitty Foyle",41,0.017
"1940:Kitty Foyle",42,0.017
"1940:Kitty Foyle",43,0.017
"1940:Kitty Foyle",44,0.017
"1940:Kitty Foyle",45,0.017
"1940:Kitty Foyle",46,0.017
"1940:Kitty Foyle",47,0.017
"1940:Kitty Foyle",48,0.017
"1940:Kitty Foyle",49,0.017
"1940:Kitty Foyle",50,0.017
"1940:Our Town",1,0
"1940:Our Town",2,0.005
"1940:Our Town",3,0
"1940:Our Town",4,0
"1940:Our Town",5,0
"1940:Our Town",6,0
"1940:Our Town",7,0
"1940:Our Town",8,0
"1940:Our Town",9,0.01
"1940:Our Town",10,0
"1940:Our Town",11,0.007
"1940:Our Town",12,0.003
"1940:Our Town",13,0
"1940:Our Town",14,0
"1940:Our Town",15,0.042
"1940:Our Town",16,0
"1940:Our Town",17,0.17
"1940:Our Town",18,0
"1940:Our Town",19,0.056
"1940:Our Town",20,0
"1940:Our Town",21,0
"1940:Our Town",22,0
"1940:Our Town",23,0
"1940:Our Town",24,0
"1940:Our Town",25,0
"1940:Our Town",26,0.068
"1940:Our Town",27,0
"1940:Our Town",28,0
"1940:Our Town",29,0
"1940:Our Town",30,0
"1940:Our Town",31,0
"1940:Our Town",32,0.026
"1940:Our Town",33,0
"1940:Our Town",34,0.35
"1940:Our Town",35,0
"1940:Our Town",36,0.019
"1940:Our Town",37,0.075
"1940:Our Town",38,0
"1940:Our Town",39,0
"1940:Our Town",40,0
"1940:Our Town",41,0.003
"1940:Our Town",42,0
"1940:Our Town",43,0
"1940:Our Town",44,0
"1940:Our Town",45,0.012
"1940:Our Town",46,0.007
"1940:Our Town",47,0
"1940:Our Town",48,0.007
"1940:Our Town",49,0.128
"1940:Our Town",50,0.005
"1940:Rebecca",1,0.001
"1940:Rebecca",2,0.001
"1940:Rebecca",3,0.034
"1940:Rebecca",4,0.001
"1940:Rebecca",5,0.012
"1940:Rebecca",6,0.231
"1940:Rebecca",7,0.001
"1940:Rebecca",8,0.001
"1940:Rebecca",9,0.061
"1940:Rebecca",10,0.001
"1940:Rebecca",11,0.001
"1940:Rebecca",12,0.017
"1940:Rebecca",13,0.012
"1940:Rebecca",14,0.001
"1940:Rebecca",15,0.006
"1940:Rebecca",16,0.023
"1940:Rebecca",17,0.001
"1940:Rebecca",18,0.001
"1940:Rebecca",19,0.001
"1940:Rebecca",20,0.001
"1940:Rebecca",21,0.001
"1940:Rebecca",22,0.001
"1940:Rebecca",23,0.001
"1940:Rebecca",24,0.001
"1940:Rebecca",25,0.006
"1940:Rebecca",26,0.001
"1940:Rebecca",27,0.001
"1940:Rebecca",28,0.001
"1940:Rebecca",29,0.001
"1940:Rebecca",30,0.001
"1940:Rebecca",31,0.001
"1940:Rebecca",32,0.187
"1940:Rebecca",33,0.012
"1940:Rebecca",34,0.001
"1940:Rebecca",35,0.006
"1940:Rebecca",36,0.001
"1940:Rebecca",37,0.001
"1940:Rebecca",38,0.001
"1940:Rebecca",39,0.001
"1940:Rebecca",40,0.001
"1940:Rebecca",41,0.012
"1940:Rebecca",42,0.017
"1940:Rebecca",43,0.001
"1940:Rebecca",44,0.083
"1940:Rebecca",45,0.001
"1940:Rebecca",46,0.264
"1940:Rebecca",47,0.001
"1940:Rebecca",48,0.001
"1940:Rebecca",49,0.001
"1940:Rebecca",50,0.001
"1940:The Grapes of Wrath",1,0.001
"1940:The Grapes of Wrath",2,0.141
