"","document","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","...52"
"55","1944:The Chronicle History of King Henry the Fift with His Battell Fought at Agincourt in France",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"56","1944:Wilson",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,2
"57","1945:Anchors Aweigh",0.001,0.028,0.048,0.001,0.001,0.417,0.001,0.001,0.001,0.001,0.001,0.001,0.007,0.068,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.048,0.001,0.001,0.001,0.001,0.001,0.001,0.048,0.236,0.021,0.014,0.001,0.014,0.007,0.001,0.001,0.021,0.001,0.001,0.001,0.001,17
"58","1945:Mildred Pierce",0.004,0,0.195,0,0,0.377,0,0,0,0,0.049,0.053,0,0,0,0.032,0,0,0,0,0.021,0,0,0.08,0,0,0.021,0,0.007,0,0,0,0,0.136,0.004,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,17
"59","1945:Spellbound",0,0,0.092,0.011,0,0.032,0.045,0,0,0,0.002,0,0,0,0.111,0.081,0,0,0.034,0.021,0,0,0.002,0,0,0.058,0.051,0,0,0,0,0,0,0,0.062,0.041,0,0,0,0.079,0.058,0,0.121,0.087,0,0,0,0,0.004,0,12
"60","1945:The Bells of St. Mary's",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"61","1945:The Lost Weekend",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"62","1946:Great Expectations",0.016,0.001,0.001,0.001,0.001,0.016,0.001,0.001,0.001,0.195,0.001,0.001,0.006,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.016,0.006,0.001,0.001,0.001,0.001,0.001,0.006,0.001,0.001,0.001,0.021,0.185,0.001,0.001,0.001,0.072,0.026,0.011,0.001,0.001,0.001,0.175,0.001,0.231,0.001,0.001,0.001,0.001,8
"63","1946:It's a Wonderful Life",0.001,0,0.012,0,0,0.022,0,0,0,0.001,0,0.06,0,0,0.035,0,0.538,0.017,0.051,0,0,0.112,0.023,0.012,0,0,0.001,0,0,0.026,0.009,0,0,0,0.005,0.01,0.041,0,0.004,0,0,0,0,0.005,0.007,0.004,0,0,0,0,2
"64","1946:The Best Years of Our Lives",0,0,0,0,0,0.165,0,0,0,0.015,0,0,0,0,0.02,0,0,0,0,0,0,0.218,0,0.068,0,0,0,0.058,0.199,0,0,0,0,0.058,0.054,0,0,0,0,0,0,0.073,0,0,0,0,0.044,0,0,0.01,1
"65","1946:The Razor's Edge",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"66","1946:The Yearling",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"67","1947:Crossfire",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
